Scenario - phase2_matchingPennies_algorithm1
Logfile written - 10/22/2019 12:33:51

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

875	128	Nothing	19	3434139	0	1			0		other	0
875	128	Response	3	3469211	35072	5
875	128	Port Input	4	3469211	35072	5
875	128	Response	2	3474195	40056	6
875	128	Port Input	1	3474195	40056	6
875	129	Nothing	19	3482688	0	1			0		other	0
875	131	Nothing	51	3514636	0	1			0		other	0
875	131	Response	3	3517024	2388	6
875	131	Port Input	4	3517024	2388	6
875	132	Nothing	101	3517056	0	1			0		other	0
875	133	Nothing	19	3550512	0	1			0		other	0
875	133	Response	2	3591581	41069	6
875	133	Port Input	1	3591581	41069	6
875	134	Nothing	19	3592756	0	1			0		other	0
875	134	Response	2	3592760	4	7
875	134	Port Input	1	3592760	4	7
875	134	Response	2	3618512	25756	5
875	134	Port Input	1	3618512	25756	5
875	135	Nothing	19	3641803	0	1			0		other	0
875	136	Nothing	51	3666362	0	1			0		other	0
875	136	Response	3	3668973	2611	6
875	136	Port Input	4	3668973	2611	6
875	137	Nothing	101	3669012	0	1			0		other	0
875	138	Nothing	19	3702472	0	1			0		other	0
875	139	Nothing	52	3740388	0	1			0		other	0
875	139	Response	2	3743234	2846	4
875	139	Port Input	1	3743234	2846	4
875	140	Nothing	110	3743266	0	1			0		other	0
875	141	Nothing	19	3776775	0	1			0		other	0
875	142	Nothing	52	3797461	0	1			0		other	0
875	142	Response	3	3800086	2625	6
875	142	Port Input	4	3800086	2625	6
875	143	Nothing	111	3800126	0	1			0		false_alarm	642
875	143	Response	3	3801331	1205	6
875	143	Port Input	4	3801331	1205	6
875	143	Response	3	3802732	2606	6
875	143	Port Input	4	3802732	2606	6
875	143	Response	3	3804049	3923	6
875	143	Port Input	4	3804049	3923	6
875	143	Response	3	3805544	5418	6
875	143	Port Input	4	3805544	5418	6
875	143	Response	3	3806980	6854	6
875	143	Port Input	4	3806980	6854	6
875	143	Response	3	3808480	8354	25
875	143	Port Input	4	3808480	8354	25
875	144	Nothing	19	3833601	0	1			0		other	0
875	145	Nothing	51	3855091	0	1			0		other	0
875	145	Response	3	3857670	2579	6
875	145	Port Input	4	3857670	2579	6
875	146	Nothing	101	3857704	0	1			0		other	0
875	147	Nothing	19	3891121	0	1			0		other	0
875	149	Nothing	51	3908267	0	1			0		other	0
875	149	Response	3	3910941	2674	6
875	149	Port Input	4	3910941	2674	6
875	150	Nothing	101	3910975	0	1			0		other	0
875	151	Nothing	19	3944469	0	1			0		other	0
875	151	Response	2	3969403	24934	5
875	151	Port Input	1	3969403	24934	5
875	152	Nothing	19	3979713	0	1			0		other	0
