scorer,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000,DLC_resnet50_PupillometryNov4shuffle1_350000
bodyparts,Up,Up,Up,Down,Down,Down,Left,Left,Left,Right,Right,Right,Center,Center,Center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
80,176.28268432617188,78.01557159423828,1.0,175.9611358642578,133.82090759277344,1.0,152.2835693359375,105.46043395996094,1.0,199.30697631835938,107.85299682617188,1.0,176.96133422851562,105.18375396728516,1.0
81,175.66419982910156,77.64189910888672,1.0,175.41751098632812,131.93096923828125,1.0,151.96804809570312,104.47183227539062,1.0,199.199462890625,105.4256362915039,1.0,176.81094360351562,103.76400756835938,1.0
82,175.73248291015625,78.46326446533203,1.0,173.62347412109375,131.23141479492188,1.0,151.29795837402344,104.43537902832031,1.0,197.68222045898438,105.46114349365234,1.0,174.91934204101562,104.11808776855469,1.0
83,176.1402130126953,78.68448638916016,1.0,175.53875732421875,134.62054443359375,1.0,151.9984130859375,106.41206359863281,1.0,199.2259063720703,108.5015640258789,1.0,176.8395538330078,105.73053741455078,1.0
84,175.7018280029297,77.28195190429688,1.0,175.1031951904297,132.8612518310547,1.0,151.89080810546875,104.50748443603516,1.0,199.4129180908203,106.56194305419922,1.0,176.83627319335938,103.90878295898438,1.0
85,175.13763427734375,78.52629089355469,1.0,172.75942993164062,134.29443359375,1.0,149.47654724121094,105.9610595703125,1.0,197.2444305419922,106.80599975585938,1.0,174.13296508789062,105.6373519897461,1.0
86,175.92515563964844,78.30592346191406,1.0,176.24420166015625,135.49118041992188,1.0,150.781005859375,107.60932159423828,1.0,200.09136962890625,109.33050537109375,1.0,176.57098388671875,106.31185150146484,1.0
87,174.95680236816406,78.64869689941406,1.0,174.03048706054688,134.86834716796875,1.0,148.8004913330078,106.86271667480469,1.0,198.01278686523438,106.92391204833984,1.0,173.858642578125,106.18387603759766,1.0
88,174.35992431640625,78.55980682373047,1.0,173.04254150390625,134.85145568847656,1.0,148.68023681640625,106.09795379638672,1.0,197.07949829101562,107.09642791748047,1.0,173.33424377441406,105.99055480957031,1.0
89,175.87034606933594,78.41151428222656,1.0,174.7213897705078,135.41317749023438,1.0,149.34768676757812,107.08226776123047,1.0,198.76101684570312,108.33009338378906,1.0,175.1984405517578,105.95867156982422,1.0
90,175.56468200683594,76.93165588378906,1.0,172.13253784179688,134.35606384277344,1.0,149.14988708496094,105.42678833007812,1.0,197.4744110107422,105.82400512695312,1.0,173.48141479492188,105.15625762939453,1.0
91,174.88792419433594,77.15644836425781,1.0,172.41644287109375,132.47775268554688,1.0,149.798828125,103.40091705322266,1.0,196.7224578857422,105.09489440917969,1.0,172.68104553222656,104.12744140625,1.0
92,174.32095336914062,79.10843658447266,1.0,172.39405822753906,133.97930908203125,1.0,148.6388397216797,106.90620422363281,1.0,196.14125061035156,107.06875610351562,1.0,173.42282104492188,106.29590606689453,1.0
93,174.7377471923828,79.73085021972656,1.0,174.12200927734375,135.26858520507812,1.0,149.40994262695312,107.82954406738281,1.0,197.02305603027344,107.68285369873047,1.0,174.39108276367188,106.5768051147461,1.0
94,174.6166229248047,80.28876495361328,1.0,173.77291870117188,135.42086791992188,1.0,149.23939514160156,107.75534057617188,1.0,196.4134063720703,108.24763488769531,1.0,174.025390625,106.83956146240234,1.0
